地址,房子朝向,租贷类型,户型,楼层,住房面积,价格（元/月）,来源,特点,是否精选
朝阳-潘家园-华威西里,南,整租,1室1厅1卫,低楼层（6层）,41.59㎡,4300,贝壳优选,"新上,集中供暖,押一付一,随时看房,首次出租",0
房山-良乡-良乡西路8号,南北,整租,2室1厅1卫,中楼层（6层）,60.50㎡,3500,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
朝阳-常营-北京像素北区,西南,整租,3房间2卫,高楼层（14层）,59.68㎡,5500,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,双卫生间,随时看房,首次出租",0
海淀-颐和园-六一幼儿园家属楼,东东北,整租,1室1厅1卫,中楼层（5层）,47.48㎡,5600,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
通州-临河里-华业东方玫瑰A区,南北,整租,1室1厅1卫,中楼层（28层）,57.08㎡,3690,链家,"官方核验,业主自荐,精装,集中供暖,随时看房",0
海淀-马连洼-七彩华园,南北,整租,3室2厅2卫,中楼层（7层）,132.04㎡,12000,贝壳优选,"近地铁,集中供暖,押一付一,双卫生间,随时看房,首次出租",0
门头沟-大峪-中门寺南坡小区,南北,整租,3室1厅1卫,中楼层（18层）,84.00㎡,3500,链家,"官方核验,集中供暖,随时看房",0
大兴-枣园-滨河西里南区,南北,整租,2室1厅1卫,中楼层（6层）,61.65㎡,3800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
海淀-田村-永定路1号院,东西,整租,2室1厅1卫,中楼层（5层）,49.60㎡,5700,贝壳优选,"精装,集中供暖,押一付一,随时看房,首次出租",0
朝阳-朝阳门外-吉庆里西区,南,整租,3室1厅1卫,中楼层（10层）,116.00㎡,13500,链家,"官方核验,业主自荐,集中供暖,随时看房",0
海淀-海淀北部新区-海淀上郡,南,整租,2室1厅1卫,低楼层（21层）,89.68㎡,4500,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
昌平-沙河-北街家园七区,东,整租,4室1厅1卫,中楼层（17层）,68.00㎡,4450,贝壳优选,"精装,集中供暖,押一付一,随时看房",0
丰台-七里庄-小井润园一区,南,整租,2室1厅1卫,高楼层（20层）,93.48㎡,7600,链家,"官方核验,业主自荐,新上,精装",0
朝阳-东大桥-工体东路,东北,整租,2室1厅1卫,中楼层（14层）,58.82㎡,6500,链家,"官方核验,新上,近地铁,精装,集中供暖,随时看房",0
朝阳-欢乐谷-世纪东方城北区,南,整租,2室1厅1卫,中楼层（21层）,93.25㎡,7100,贝壳优选,"新上,近地铁,集中供暖,押一付一,随时看房",0
海淀-定慧寺-玲珑苑,西北,整租,1室1厅1卫,中楼层（20层）,58.00㎡,8000,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
昌平-回龙观-龙华园,南北,整租,2室1厅1卫,中楼层（6层）,70.00㎡,5800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
海淀-五道口-厢白旗甲1号院,南北,整租,2室1厅1卫,低楼层（6层）,69.41㎡,9700,贝壳优选,"集中供暖,押一付一,随时看房",0
丰台-右安门外-玉林里小区,南,整租,2室1厅1卫,中楼层（18层）,57.00㎡,6500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
朝阳-亚运村小营-干杨树,东南,整租,2室1厅1卫,高楼层（18层）,69.87㎡,7300,链家,"官方核验,新上,精装,集中供暖,随时看房",0
昌平-东关-京科苑,南北,整租,2室1厅1卫,高楼层（7层）,76.00㎡,3100,贝壳优选,"精装,集中供暖,押一付一,随时看房",0
海淀-西二旗-领秀新硅谷1号院,南北,整租,2室2厅1卫,高楼层（15层）,95.00㎡,10000,链家,"官方核验,业主自荐,新上,近地铁,精装,随时看房",0
朝阳-奥林匹克公园-万科星园,西南,整租,2室1厅1卫,低楼层（13层）,109.68㎡,8500,贝壳优选,"近地铁,精装,押一付一,随时看房,首次出租",0
西城-长椿街-宣武门西大街南区,南,整租,2室1厅1卫,高楼层（10层）,50.90㎡,7800,贝壳优选,"精装,集中供暖,押一付一,随时看房",0
朝阳-亚运村-慧忠北里第一社区,西北,整租,3室1厅1卫,低楼层（25层）,111.77㎡,9400,贝壳优选,"精装,集中供暖,押一付一,随时看房",0
门头沟-大峪-中门寺南坡小区,南北,整租,3室1厅1卫,中楼层（18层）,84.00㎡,3500,链家,"官方核验,集中供暖,随时看房",0
海淀-双榆树-双榆树北里,南,整租,1室1厅1卫,中楼层（6层）,36.60㎡,7200,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房,首次出租",0
海淀-万柳-新起点嘉园,东南,整租,3室2厅2卫,低楼层（19层）,163.00㎡,18000,链家,"官方核验,业主自荐,近地铁,精装,集中供暖,双卫生间",0
房山-良乡-佳世苑小区,东南,整租,2室1厅1卫,中楼层（11层）,101.37㎡,3600,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
丰台-科技园区-恒富中街6号院,南北,整租,3室1厅2卫,中楼层（7层）,141.48㎡,11200,链家,"官方核验,业主自荐,近地铁,精装,集中供暖,双卫生间",0
大兴-枣园-滨河西里南区,南北,整租,2室1厅1卫,中楼层（6层）,61.65㎡,3800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
朝阳-朝阳门外-吉庆里西区,南,整租,3室1厅1卫,中楼层（10层）,116.00㎡,13500,链家,"官方核验,业主自荐,集中供暖,随时看房",0
朝阳-首都机场-南平里,南北,整租,2室1厅1卫,高楼层（6层）,89.48㎡,4500,贝壳优选,"精装,集中供暖,押一付一,随时看房,首次出租",0
西城-金融街-参政胡同19号院,南,整租,1室1厅1卫,低楼层（16层）,41.10㎡,7400,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,随时看房",0
海淀-海淀北部新区-海淀上郡,南,整租,2室1厅1卫,低楼层（21层）,89.68㎡,4500,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
海淀-牡丹园-花园路甲1号,南北,整租,3室1厅1卫,低楼层（12层）,89.84㎡,11000,贝壳优选,"近地铁,集中供暖,押一付一,随时看房,首次出租",0
昌平-南邵-北郡嘉源,南,整租,3室1厅1卫,中楼层（18层）,88.99㎡,4350,贝壳优选,"新上,精装,集中供暖,押一付一,随时看房,首次出租",0
朝阳-马甸-裕民路1号院,南,整租,2室1厅1卫,高楼层（6层）,54.63㎡,6200,链家,"官方核验,新上,近地铁,集中供暖,随时看房",0
大兴-大兴机场空港-榆垡新城嘉园B区,南,整租,1室0厅1卫,高楼层（10层）,49.39㎡,1339,贝壳优选,"新上,集中供暖,押一付一,随时看房",0
大兴-枣园-首邑溪谷,东西,整租,2室1厅2卫,高楼层（11层）,48.30㎡,4500,贝壳优选,"新上,精装,集中供暖,押一付一,双卫生间,随时看房",0
丰台-马家堡-东亚三环,东南,整租,3房间1卫,低楼层（21层）,81.71㎡,7500,链家,"官方核验,业主自荐,新上,近地铁,集中供暖",0
朝阳-潘家园-百环花园,东南,整租,2室1厅1卫,中楼层（28层）,114.12㎡,6900,贝壳优选,"押一付一,随时看房,首次出租",0
丰台-花乡-天伦锦城,南,整租,2室1厅1卫,低楼层（13层）,86.32㎡,5700,贝壳优选,"新上,精装,集中供暖,押一付一,随时看房",0
朝阳-甘露园-康家园,南北,整租,1室1厅1卫,中楼层（6层）,42.72㎡,5950,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
顺义-后沙峪-空港吉祥花园,南,整租,2室1厅1卫,中楼层（11层）,73.72㎡,5300,贝壳优选,"近地铁,集中供暖,押一付一,随时看房,首次出租",0
朝阳-大望路-易构空间,西南,整租,2室2厅1卫,低楼层（28层）,103.49㎡,9200,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房",0
朝阳-小红门-江南山水,南北,整租,3室2厅2卫,高楼层（12层）,132.63㎡,8500,链家,"官方核验,业主自荐,新上,精装,集中供暖,双卫生间",0
石景山-鲁谷-远洋山水,西南,整租,2室1厅1卫,中楼层（25层）,118.16㎡,8100,贝壳优选,"精装,集中供暖,押一付一,随时看房,首次出租",0
朝阳-惠新西街-千鹤家园,北,整租,1室1厅1卫,高楼层（25层）,71.88㎡,8280,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房,首次出租",0
朝阳-豆各庄-青荷里宸欣园,南北,整租,3室1厅1卫,中楼层（29层）,106.00㎡,6000,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
朝阳-和平里-和平街十区,南北,整租,2室1厅1卫,高楼层（5层）,56.61㎡,7400,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,随时看房",0
丰台-马家堡-东亚三环,东南,整租,3房间1卫,低楼层（21层）,81.71㎡,7500,链家,"官方核验,业主自荐,新上,近地铁,集中供暖",0
大兴-大兴机场空港-空港华苑2号院,南北,整租,2室1厅1卫,高楼层（18层）,89.81㎡,1780,贝壳优选,"月租,精装,集中供暖,押一付一,随时看房",0
丰台-七里庄-小井润园一区,南,整租,2室1厅1卫,高楼层（20层）,93.48㎡,7600,链家,"官方核验,业主自荐,新上,精装",0
朝阳-东大桥-工体东路,东北,整租,2室1厅1卫,中楼层（14层）,58.82㎡,6500,链家,"官方核验,新上,近地铁,精装,集中供暖,随时看房",0
海淀-海淀北部新区-万和嘉园一区,北,合租,3居室,低楼层（18层）,13.80㎡,2000,房小满,"公寓,月租,精装,押一付一,随时看房",0
海淀-五棵松-金沟河2号院,东西,整租,2室1厅1卫,低楼层（6层）,55.30㎡,6000,链家,"官方核验,新上,近地铁,精装,集中供暖",0
东城-东花市-富贵园二区,东,整租,2室1厅1卫,中楼层（18层）,73.39㎡,7300,链家,"官方核验,业主自荐,精装,集中供暖,随时看房",0
海淀-海淀北部新区-万和嘉园二区,南,合租,3居室,中楼层（15层）,13.14㎡,2280,房小满,"新上,公寓,月租,精装,押一付一,随时看房",0
通州-武夷花园-京贸国际城,东北,整租,2室1厅1卫,中楼层（26层）,79.74㎡,4900,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
昌平-沙河-恒大幸福家园,南北,整租,3室1厅1卫,中楼层（24层）,89.67㎡,4700,贝壳优选,"月租,集中供暖,押一付一,随时看房",0
朝阳-常营-北京像素北区,西北,整租,2房间2卫,高楼层（13层）,40.00㎡,4600,贝壳优选,"近地铁,精装,集中供暖,押一付一,双卫生间,随时看房",0
朝阳-华威桥-双龙南里,南,整租,1室1厅1卫,低楼层（18层）,41.19㎡,5000,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
房山-长阳-金地朗悦沁园,南北,整租,3室2厅1卫,中楼层（6层）,89.00㎡,4100,贝壳优选,"精装,集中供暖,押一付一,随时看房",0
海淀-清河-小营东路6号院,东南北,整租,3室0厅1卫,中楼层（5层）,56.00㎡,6800,贝壳优选,"月租,近地铁,精装,集中供暖,押一付一,随时看房",0
房山-长阳-中海寰宇视界,南北,整租,3室2厅3卫,低楼层（18层）,155.00㎡,7500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
石景山-苹果园-海特花园西区,东西,整租,1室1厅1卫,中楼层（6层）,54.00㎡,4562,贝壳优选,"近地铁,精装,集中供暖,押一付一,随时看房",0
顺义-后沙峪-三山新新家园,南北,整租,3室1厅1卫,高楼层（6层）,112.00㎡,4790,贝壳优选,"新上,月租,精装,集中供暖,押一付一,随时看房",0
海淀-定慧寺-玲珑苑,西北,整租,1室1厅1卫,中楼层（20层）,58.00㎡,8000,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
海淀-海淀北部新区-万和嘉园一区,北,合租,5居室,中楼层（21层）,6.73㎡,1400,房小满,"新上,公寓,月租,精装,押一付一,随时看房",0
通州-梨园-时尚街区东区,西南,整租,1室1厅1卫,中楼层（10层）,53.10㎡,3600,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
朝阳-建国门外-东方瑞景,东,整租,2室1厅2卫,中楼层（27层）,138.90㎡,14800,链家,"官方核验,业主自荐,精装,集中供暖,双卫生间",0
海淀-皂君庙-青年公寓,南,整租,1室1厅1卫,中楼层（17层）,42.17㎡,6200,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
朝阳-东大桥-旺座中心公寓,东北,整租,2室1厅2卫,中楼层（30层）,157.00㎡,18000,链家,"官方核验,精装,集中供暖,双卫生间",0
海淀-清河-莱圳家园,南,整租,2室1厅1卫,高楼层（15层）,74.00㎡,7500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
昌平-回龙观-龙华园,南北,整租,2室1厅1卫,中楼层（6层）,70.00㎡,5800,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
朝阳-望京-花家地西里一区,南,整租,1室1厅1卫,高楼层（18层）,51.47㎡,6400,链家,"官方核验,业主自荐,近地铁,集中供暖",0
西城-小西天-西直门北滨河路2号院,东西,整租,2室1厅1卫,高楼层（9层）,92.00㎡,10500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
海淀-双榆树-双榆树西里,南,整租,2室1厅1卫,中楼层（16层）,58.72㎡,8500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
朝阳-望京-望京明苑,南,合租,3居室,低楼层（28层）,27.00㎡,2600,无忧吾寓,"租住保障,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",0
朝阳-华威桥-双龙南里,南,整租,1室1厅1卫,低楼层（18层）,41.19㎡,5000,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
昌平-西关环岛-西环里,南,整租,2室1厅1卫,高楼层（6层）,57.00㎡,3090,贝壳优选,"精装,集中供暖,押一付一,随时看房",0
通州-武夷花园-京贸国际城,东北,整租,2室1厅1卫,中楼层（26层）,79.74㎡,4900,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
房山-长阳-中海寰宇视界,南北,整租,3室2厅3卫,低楼层（18层）,155.00㎡,7500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
大兴-高米店-华远西红世商业,东,整租,2房间1卫,低楼层（12层）,48.65㎡,3000,贝壳优选,"新上,精装,集中供暖,押一付一,随时看房,首次出租",0
海淀-海淀北部新区-唐家岭新城,南,合租,3居室,中楼层（17层）,18.00㎡,2900,信安家,"新上,公寓,独立卫生间,月租,精装",1
通州-梨园-时尚街区东区,西南,整租,1室1厅1卫,中楼层（10层）,53.10㎡,3600,链家,"官方核验,业主自荐,新上,精装,集中供暖,随时看房",0
朝阳-建国门外-东方瑞景,东,整租,2室1厅2卫,中楼层（27层）,138.90㎡,14800,链家,"官方核验,业主自荐,精装,集中供暖,双卫生间",0
通州-临河里-金隅自由筑,西,整租,2房间1卫,中楼层（7层）,53.00㎡,2678,贝壳优选,"新上,月租,集中供暖,押一付一,随时看房",0
朝阳-东大桥-旺座中心公寓,东北,整租,2室1厅2卫,中楼层（30层）,157.00㎡,18000,链家,"官方核验,精装,集中供暖,双卫生间",0
海淀-清河-莱圳家园,南,整租,2室1厅1卫,高楼层（15层）,74.00㎡,7500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
朝阳-惠新西街-城市出品,东,整租,1室1厅1卫,低楼层（16层）,53.66㎡,6300,贝壳优选,"新上,近地铁,精装,集中供暖,押一付一,随时看房,首次出租",0
朝阳-望京-花家地西里一区,南,整租,1室1厅1卫,高楼层（18层）,51.47㎡,6400,链家,"官方核验,业主自荐,近地铁,集中供暖",0
房山-阎村-绿城百合公寓南区,南北,整租,3室2厅2卫,低楼层（6层）,153.26㎡,5800,链家,"官方核验,业主自荐,新上,精装,双卫生间",0
石景山-五里坨-绿地·京西景园,南,整租,1室1厅1卫,低楼层（28层）,50.67㎡,2940,贝壳优选,"新上,集中供暖,押一付一,随时看房,首次出租",0
门头沟-上岸地铁-远洋新天地,东北,合租,3居室,中楼层（11层）,15.00㎡,1499,家家公寓北京,"公寓,独立卫生间,月租,精装,集中供暖,押一付一,随时看房",1
丰台-科技园区-育仁里2号院,南北,整租,2室1厅1卫,高楼层（6层）,60.00㎡,5800,链家,"官方核验,新上,近地铁,精装,集中供暖,随时看房",0
海淀-双榆树-双榆树西里,南,整租,2室1厅1卫,中楼层（16层）,58.72㎡,8500,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
房山-长阳-加州水郡三期,东北,整租,2室1厅1卫,中楼层（15层）,86.52㎡,3255,贝壳优选,"新上,精装,押一付一,随时看房,首次出租",0
丰台-七里庄-中建一局北院,南北,整租,2室1厅1卫,中楼层（6层）,63.20㎡,4700,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
朝阳-东坝-金隅景和园,南,整租,2室1厅1卫,中楼层（21层）,87.00㎡,5200,链家,"官方核验,新上,精装,集中供暖,随时看房",0
海淀-万柳-蜂鸟家园,北,整租,1室1厅2卫,中楼层（14层）,45.00㎡,6825,贝壳优选,"新上,精装,集中供暖,押一付一,双卫生间,随时看房,首次出租",0
朝阳-北苑-北苑家园茉藜园,西南,整租,2室1厅2卫,高楼层（25层）,112.43㎡,6300,链家,"官方核验,业主自荐,新上,月租,近地铁,精装,集中供暖,双卫生间",0
海淀-知春路-罗庄西里,南,合租,4居室,高楼层（18层）,20.00㎡,3500,汇格嘉业,"公寓,月租,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",1
丰台-七里庄-望园东里,南北,整租,3室1厅1卫,高楼层（6层）,80.83㎡,6200,贝壳优选,"新上,近地铁,集中供暖,押一付一,随时看房,首次出租",0
朝阳-安贞-安贞西里,北,合租,2居室,高楼层（6层）,20.00㎡,3199,国良乐居,"公寓,独立卫生间,近地铁,独立阳台,集中供暖,随时看房",1
海淀-西二旗-领秀新硅谷1号院,西,合租,3居室,高楼层（3层）,10.00㎡,1900,小青公寓,"公寓,月租,精装,集中供暖",1
丰台-青塔-蔚园,南北,整租,3室1厅1卫,低楼层（16层）,86.68㎡,6500,贝壳优选,"新上,集中供暖,押一付一,随时看房,首次出租",0
朝阳-国展-豪成大厦,西,整租,3室1厅1卫,中楼层（25层）,118.72㎡,11000,链家,"官方核验,新上,近地铁,集中供暖",0
朝阳-双桥-双桥温泉东里小区,南,整租,2室2厅1卫,中楼层（7层）,96.00㎡,4200,链家,"官方核验,精装",0
亦庄开发区-亦庄-小康东里,南北,整租,1室1厅1卫,中楼层（6层）,60.00㎡,3900,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
朝阳-东大桥-世界城,南,整租,1室0厅1卫,低楼层（29层）,57.00㎡,10000,链家,"官方核验,新上,精装,集中供暖",0
亦庄开发区-通州其它-首创远洋禧瑞天著西区,南,整租,2室1厅1卫,高楼层（21层）,89.00㎡,6000,链家,"官方核验,业主自荐,新上,近地铁,精装,集中供暖",0
顺义-顺义其它-下坡屯家园三区,南北,整租,2室1厅1卫,低楼层（11层）,82.00㎡,2600,链家,"官方核验,精装,随时看房",0
怀柔-怀柔-湖光小区,南北,整租,2室1厅1卫,中楼层（6层）,60.01㎡,1500,链家,"官方核验,精装,集中供暖",0
石景山-苹果园-苹果园小区三区,东南,整租,2室1厅1卫,中楼层（16层）,75.00㎡,5500,链家,"官方核验,近地铁,精装,集中供暖",0
朝阳-望京-夏都盈座,南,合租,4居室,高楼层（15层）,18.00㎡,2399,北京诚佳公寓,"租住保障,公寓,月租,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",0
朝阳-东大桥-旺座中心公寓,西北,整租,2室1厅2卫,中楼层（30层）,157.00㎡,16500,链家,"官方核验,精装,集中供暖,双卫生间",0
丰台-菜户营-万泉寺南里,南北,整租,1室1厅1卫,低楼层（4层）,44.50㎡,4300,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
丰台-赵公口-跃城,南北,整租,2室2厅1卫,低楼层（20层）,112.53㎡,6900,链家,"官方核验,精装,随时看房",0
房山-阎村-京西悦府,南北,整租,3室1厅1卫,中楼层（11层）,96.21㎡,4200,链家,"官方核验,近地铁,集中供暖,随时看房",0
朝阳-亮马桥-三源里街,东南西北,整租,3室1厅1卫,中楼层（6层）,78.00㎡,8500,链家,"官方核验,新上,近地铁,精装,集中供暖",0
大兴-旧宫-清和园,南北,整租,2室1厅1卫,高楼层（6层）,71.57㎡,3800,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
昌平-北七家-王府公寓,南北,整租,2室1厅1卫,中楼层（5层）,103.03㎡,4000,链家,"官方核验,精装,集中供暖,随时看房",0
房山-窦店-山水汇豪苑B区,南北,整租,3室2厅1卫,中楼层（15层）,128.55㎡,3300,链家,"官方核验,精装",0
朝阳-潘家园-方丹苑,西北,整租,2室1厅1卫,中楼层（21层）,95.72㎡,6500,链家,"官方核验,月租,精装,集中供暖",0
房山-长阳-加州水郡四期,西北,整租,2室1厅1卫,低楼层（15层）,92.68㎡,3239,链家,"官方核验,精装",0
丰台-蒲黄榆-万事吉公寓,南北,整租,2室1厅1卫,中楼层（15层）,112.62㎡,6500,链家,"官方核验,集中供暖,随时看房",0
房山-长阳-首开熙悦山澜庭,东南北,整租,3室1厅1卫,低楼层（21层）,99.61㎡,5100,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
朝阳-望京-朝庭,南,合租,3居室,中楼层（27层）,18.00㎡,3888,住呗公寓北京,"公寓,独立卫生间,月租,精装,随时看房",0
通州-九棵树(家乐福)-阿尔法社区二期,南,整租,1室1厅1卫,高楼层（6层）,62.27㎡,3100,链家,"官方核验,精装,随时看房",0
顺义-顺义城-西辛南区,南北,整租,2室1厅1卫,高楼层（6层）,85.00㎡,3200,链家,"官方核验,月租,集中供暖,随时看房",0
通州-果园-葛布店东里,南北,整租,2室1厅1卫,高楼层（6层）,61.73㎡,3200,链家,"官方核验,精装,集中供暖,随时看房",0
通州-武夷花园-武夷花园月季园,东西北,整租,2室1厅1卫,高楼层（18层）,98.74㎡,3600,链家,"官方核验,集中供暖,随时看房",0
亦庄开发区-亦庄河西区-枫丹壹号二期,南,整租,3室1厅1卫,中楼层（25层）,95.00㎡,7000,链家,"官方核验,精装,集中供暖",0
昌平-回龙观-慧华苑,南北,整租,3室1厅1卫,中楼层（6层）,95.00㎡,6500,链家,"官方核验,业主自荐,近地铁,集中供暖",0
通州-武夷花园-京贸国际城,南北,整租,2室1厅1卫,低楼层（32层）,90.32㎡,4400,链家,"官方核验,集中供暖,随时看房",0
朝阳-双桥-金隅可乐,西南,整租,3房间1卫,高楼层（19层）,57.24㎡,6200,链家,"官方核验,近地铁,精装,集中供暖",0
朝阳-四惠-八里庄东里北巷,南北,整租,2室1厅1卫,中楼层（5层）,57.15㎡,5800,链家,"官方核验,近地铁,集中供暖",0
朝阳-中央别墅区-康营家园三十二区,南,合租,4居室,高楼层（10层）,20.00㎡,2500,宝铂公寓,"新上,公寓,独立卫生间,月租,精装,押一付一",0
丰台-蒲黄榆-万事吉公寓,南北,整租,2室1厅1卫,中楼层（15层）,112.62㎡,6500,链家,"官方核验,集中供暖,随时看房",0
房山-长阳-首开熙悦山澜庭,东南北,整租,3室1厅1卫,低楼层（21层）,99.61㎡,5100,链家,"官方核验,业主自荐,新上,精装,集中供暖",0
通州-九棵树(家乐福)-阿尔法社区二期,南,整租,1室1厅1卫,高楼层（6层）,62.27㎡,3100,链家,"官方核验,精装,随时看房",0
顺义-顺义城-西辛南区,南北,整租,2室1厅1卫,高楼层（6层）,85.00㎡,3200,链家,"官方核验,月租,集中供暖,随时看房",0
通州-果园-葛布店东里,南北,整租,2室1厅1卫,高楼层（6层）,61.73㎡,3200,链家,"官方核验,精装,集中供暖,随时看房",0
亦庄开发区-亦庄河西区-枫丹壹号二期,南,整租,3室1厅1卫,中楼层（25层）,95.00㎡,7000,链家,"官方核验,精装,集中供暖",0
通州-武夷花园-武夷花园月季园,东西北,整租,2室1厅1卫,高楼层（18层）,98.74㎡,3600,链家,"官方核验,集中供暖,随时看房",0
昌平-回龙观-慧华苑,南北,整租,3室1厅1卫,中楼层（6层）,95.00㎡,6500,链家,"官方核验,业主自荐,近地铁,集中供暖",0
朝阳-马甸-裕民东里,南,整租,2室1厅1卫,中楼层（18层）,58.00㎡,7500,链家,"近地铁,精装,集中供暖,随时看房",0
